RFID	SEX	DOB	ET	VIRUS	Corner Phase 3	Corner Phase 4
910200000001000	male	01.09.25	A01	Group A	1	3
910200000001001	female	01.09.25	A02	Group A	2	4
910200000001002	male	01.09.25	A03	Group A	3	1
910200000001003	female	01.09.25	A04	Group A	4	2
910200000001004	male	01.09.25	A05	Group A	1	3
910200000001005	female	01.09.25	A06	Group A	2	4
910200000001006	male	01.09.25	A07	Group A	3	1
910200000001007	female	01.09.25	A08	Group A	4	2
910200000001008	male	01.09.25	A09	Group A	1	3
910200000001009	female	01.09.25	A10	Group A	2	4
