VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
0	2026-01-05 07:48:27.830	2026-01-05 07:48:28.859	5	0	0	0	0	3	0.054	0.493365	0	0	0	0	0	2026-01-05 07:48:27.830
3	2026-01-06 05:46:44.507	2026-01-06 05:46:46.173	1	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
6	2026-01-06 11:12:51.063	2026-01-06 11:12:51.901	7	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
7	2026-01-06 12:56:49.334	2026-01-06 12:56:52.048	3	0	0	0	0	5	0.09	0.87234	0	0	0	0	0	2026-01-06 12:56:49.334
8	2026-01-06 15:02:08.638	2026-01-06 15:02:09.602	3	0	0	0	0	5	0.09	1.073836	0	0	0	0	0	2026-01-06 15:02:08.638
9	2026-01-06 16:02:02.112	2026-01-06 16:02:03.645	3	0	0	0	0	4	0.072	0.85192	0	0	0	0	0	2026-01-06 16:02:02.112
11	2026-01-07 05:12:49.488	2026-01-07 05:12:51.236	7	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
16	2026-01-07 22:04:48.676	2026-01-07 22:04:48.964	7	0	0	0	0	4	0.072	0.628572	0	0	0	0	0	2026-01-07 22:04:48.676
17	2026-01-05 06:16:25.612	2026-01-05 06:16:26.312	5	0	0	0	0	7	0.126	1.279609	0	0	0	0	0	2026-01-05 06:16:25.612
18	2026-01-05 06:42:26.170	2026-01-05 06:42:27.938	7	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
25	2026-01-05 11:31:26.462	2026-01-05 11:31:26.966	7	0	0	0	0	0	0.0	0.0	0	0	0	0	0	
27	2026-01-05 12:11:24.862	2026-01-05 12:11:27.129	5	0	0	0	0	2	0.036	0.324718	0	0	0	0	0	2026-01-05 12:11:24.862
28	2026-01-05 16:20:47.672	2026-01-05 16:20:48.598	7	0	0	0	0	6	0.108	0.876273	0	0	0	0	0	2026-01-05 16:20:47.672
