VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution	LickNumber	LickContactTime	LickDuration
0	910200000001000	2026-01-05 06:05:00.970	2026-01-05 06:05:03.404	Free Habituation (Phase 1)	1	4	0	0	1	2.433781	1	2.033781	0	0	0.0	0.0
1	910200000001000	2026-01-05 06:10:08.047	2026-01-05 06:10:19.935	Free Habituation (Phase 1)	1	3	0	0	1	11.888715	1	11.488715	0	0	0.0	0.0
2	910200000001000	2026-01-05 06:12:37.149	2026-01-05 06:12:38.782	Free Habituation (Phase 1)	1	3	0	0	1	1.632594	1	1.232594	0	6	0.108	1.117577
3	910200000001000	2026-01-05 06:16:25.094	2026-01-05 06:16:29.443	Free Habituation (Phase 1)	1	3	0	0	1	4.349407	1	3.949407	0	0	0.0	0.0
4	910200000001000	2026-01-05 06:21:51.270	2026-01-05 06:21:54.693	Free Habituation (Phase 1)	1	4	0	0	1	3.423019	1	3.023019	0	0	0.0	0.0
5	910200000001000	2026-01-05 06:22:23.054	2026-01-05 06:22:29.001	Free Habituation (Phase 1)	1	2	0	0	1	5.947065	1	5.547065	0	0	0.0	0.0
6	910200000001000	2026-01-05 06:22:53.864	2026-01-05 06:22:55.938	Free Habituation (Phase 1)	1	2	0	0	1	2.074114	1	1.674114	0	0	0.0	0.0
7	910200000001000	2026-01-05 06:38:00.016	2026-01-05 06:38:00.716	Free Habituation (Phase 1)	1	4	0	0	1	0.7	1	0.3	0	0	0.0	0.0
8	910200000001000	2026-01-05 06:42:25.852	2026-01-05 06:42:27.867	Free Habituation (Phase 1)	1	1	0	0	1	2.014865	1	1.614865	0	0	0.0	0.0
9	910200000001000	2026-01-05 06:54:49.340	2026-01-05 06:54:58.677	Free Habituation (Phase 1)	1	4	0	0	1	9.337087	1	8.937087	0	5	0.09	0.714691
10	910200000001000	2026-01-05 07:08:30.232	2026-01-05 07:08:39.317	Free Habituation (Phase 1)	1	3	0	0	1	9.084854	1	8.684854	0	1	0.018	0.152448
11	910200000001000	2026-01-05 07:17:45.127	2026-01-05 07:17:54.277	Free Habituation (Phase 1)	1	1	0	0	1	9.150558	1	8.750558	0	0	0.0	0.0
12	910200000001000	2026-01-05 07:19:05.070	2026-01-05 07:19:18.591	Free Habituation (Phase 1)	1	4	0	0	1	13.520418	1	13.120418	0	0	0.0	0.0
13	910200000001000	2026-01-05 07:25:41.970	2026-01-05 07:25:47.807	Free Habituation (Phase 1)	1	2	0	0	1	5.837561	1	5.437561	0	0	0.0	0.0
