VisitID	Start	End	Side	Bottle	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
0	2026-01-08 08:01:42.544	2026-01-08 08:01:43.937	4	saccharin	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
1	2026-01-08 08:07:06.105	2026-01-08 08:07:08.395	2	saccharin	1	0	0	0	9	0.162	1.416405	0	0	0	0	0	2026-01-08 08:07:06.105
2	2026-01-08 08:10:35.828	2026-01-08 08:10:36.991	2	saccharin	1	0	0	0	1	0.018	0.194643	0	0	0	0	0	2026-01-08 08:10:35.828
3	2026-01-08 08:12:28.318	2026-01-08 08:12:30.879	6	saccharin	1	0	0	0	10	0.18	2.168456	0	0	0	0	0	2026-01-08 08:12:28.318
4	2026-01-08 08:30:14.369	2026-01-08 08:30:17.179	6	saccharin	1	0	0	0	12	0.216	2.074462	0	0	0	0	0	2026-01-08 08:30:14.369
5	2026-01-08 08:31:08.181	2026-01-08 08:31:09.092	2	saccharin	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
6	2026-01-08 08:32:00.972	2026-01-08 08:32:02.428	6	saccharin	1	0	0	0	7	0.126	1.471517	0	0	0	0	0	2026-01-08 08:32:00.972
7	2026-01-08 08:44:43.649	2026-01-08 08:44:44.635	8	saccharin	1	0	0	0	15	0.27	2.825148	0	0	0	0	0	2026-01-08 08:44:43.649
9	2026-01-08 08:52:33.442	2026-01-08 08:52:35.489	8	saccharin	1	0	0	0	11	0.198	2.280852	0	0	0	0	0	2026-01-08 08:52:33.442
10	2026-01-08 08:55:49.674	2026-01-08 08:55:52.279	8	saccharin	1	0	0	0	15	0.27	2.944564	0	0	0	0	0	2026-01-08 08:55:49.674
11	2026-01-08 08:57:13.376	2026-01-08 08:57:14.448	4	saccharin	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
12	2026-01-08 08:57:28.532	2026-01-08 08:57:30.598	4	saccharin	1	0	0	0	12	0.216	2.603035	0	0	0	0	0	2026-01-08 08:57:28.532
13	2026-01-08 08:57:32.808	2026-01-08 08:57:33.161	2	saccharin	1	0	0	0	11	0.198	1.718455	0	0	0	0	0	2026-01-08 08:57:32.808
14	2026-01-08 09:09:29.151	2026-01-08 09:09:30.748	2	saccharin	1	0	0	0	8	0.144	1.399131	0	0	0	0	0	2026-01-08 09:09:29.151
15	2026-01-08 09:12:27.491	2026-01-08 09:12:28.212	2	saccharin	1	0	0	0	10	0.18	1.531354	0	0	0	0	0	2026-01-08 09:12:27.491
16	2026-01-08 09:14:31.498	2026-01-08 09:14:34.720	8	saccharin	1	0	0	0	13	0.234	2.759417	0	0	0	0	0	2026-01-08 09:14:31.498
17	2026-01-08 09:16:39.604	2026-01-08 09:16:42.411	7	plain water	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
18	2026-01-08 09:18:07.432	2026-01-08 09:18:11.956	8	saccharin	1	0	0	0	21	0.378	3.344688	0	0	0	0	0	2026-01-08 09:18:07.432
19	2026-01-08 09:24:08.665	2026-01-08 09:24:09.030	2	saccharin	1	0	0	0	10	0.18	1.637437	0	0	0	0	0	2026-01-08 09:24:08.665
20	2026-01-08 09:34:07.268	2026-01-08 09:34:08.943	7	plain water	1	0	0	0	11	0.198	2.140306	0	0	0	0	0	2026-01-08 09:34:07.268
22	2026-01-08 09:35:06.491	2026-01-08 09:35:07.987	2	saccharin	1	0	0	0	20	0.36	3.322103	0	0	0	0	0	2026-01-08 09:35:06.491
23	2026-01-08 09:35:43.336	2026-01-08 09:35:43.597	8	saccharin	1	0	0	0	9	0.162	1.476323	0	0	0	0	0	2026-01-08 09:35:43.336
24	2026-01-08 09:39:46.611	2026-01-08 09:39:47.157	4	saccharin	1	0	0	0	9	0.162	1.770606	0	0	0	0	0	2026-01-08 09:39:46.611
25	2026-01-08 09:40:09.231	2026-01-08 09:40:11.039	6	saccharin	1	0	0	0	10	0.18	1.44261	0	0	0	0	0	2026-01-08 09:40:09.231
26	2026-01-08 09:46:19.146	2026-01-08 09:46:20.515	5	plain water	1	0	0	0	7	0.126	1.240519	0	0	0	0	0	2026-01-08 09:46:19.146
27	2026-01-08 09:47:20.619	2026-01-08 09:47:21.507	8	saccharin	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
28	2026-01-08 09:48:05.721	2026-01-08 09:48:10.011	6	saccharin	1	0	0	0	11	0.198	1.923588	0	0	0	0	0	2026-01-08 09:48:05.721
29	2026-01-08 09:54:46.839	2026-01-08 09:54:49.217	4	saccharin	1	0	0	0	10	0.18	2.178134	0	0	0	0	0	2026-01-08 09:54:46.839
30	2026-01-08 09:57:13.763	2026-01-08 09:57:14.126	1	plain water	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
31	2026-01-08 09:59:38.494	2026-01-08 09:59:40.873	6	saccharin	1	0	0	0	18	0.324	2.59138	0	0	0	0	0	2026-01-08 09:59:38.494
32	2026-01-08 10:05:17.039	2026-01-08 10:05:18.223	6	saccharin	1	0	0	0	9	0.162	1.583648	0	0	0	0	0	2026-01-08 10:05:17.039
