RFID	SEX	DOB	ET	VIRUS	Corner Phase 3	Corner Phase 4
910200000002000	male	01.09.25	B01	Group B	1	3
910200000002001	female	01.09.25	B02	Group B	2	4
910200000002002	male	01.09.25	B03	Group B	3	1
910200000002003	female	01.09.25	B04	Group B	4	2
910200000002004	male	01.09.25	B05	Group B	1	3
910200000002005	female	01.09.25	B06	Group B	2	4
910200000002006	male	01.09.25	B07	Group B	3	1
910200000002007	female	01.09.25	B08	Group B	4	2
910200000002008	male	01.09.25	B09	Group B	1	3
910200000002009	female	01.09.25	B10	Group B	2	4
