VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution	LickNumber	LickContactTime	LickDuration
0	910200000002000	2026-01-08 15:34:27.088	2026-01-08 15:34:30.522	Nosepoke Adaptation (Phase 2)	1	4	0	0	1	3.433716	1	3.033716	0	0	0.0	0.0
1	910200000002000	2026-01-08 15:34:35.137	2026-01-08 15:34:38.874	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	3.737358	1	3.337358	0	6	0.108	1.10543
2	910200000002000	2026-01-08 15:46:53.925	2026-01-08 15:46:55.649	Nosepoke Adaptation (Phase 2)	1	4	0	0	1	1.724351	1	1.324351	0	0	0.0	0.0
3	910200000002000	2026-01-08 15:49:24.459	2026-01-08 15:49:31.063	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	6.604038	1	6.204038	0	0	0.0	0.0
4	910200000002000	2026-01-08 15:53:28.902	2026-01-08 15:53:29.602	Nosepoke Adaptation (Phase 2)	1	2	0	0	1	0.7	1	0.3	0	0	0.0	0.0
5	910200000002000	2026-01-08 15:54:29.560	2026-01-08 15:54:35.820	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	6.260044	1	5.860044	0	0	0.0	0.0
6	910200000002000	2026-01-08 15:54:35.942	2026-01-08 15:54:42.308	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	6.365759	1	5.965759	0	3	0.054	0.567932
7	910200000002000	2026-01-08 16:00:24.115	2026-01-08 16:00:37.848	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	13.732659	1	13.332659	0	0	0.0	0.0
8	910200000002000	2026-01-08 16:10:09.017	2026-01-08 16:10:11.619	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	2.601435	1	2.201435	0	0	0.0	0.0
9	910200000002000	2026-01-08 16:27:54.250	2026-01-08 16:27:58.345	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	4.094287	1	3.694287	0	0	0.0	0.0
10	910200000002000	2026-01-08 16:31:35.182	2026-01-08 16:31:37.134	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	1.95126	1	1.55126	0	0	0.0	0.0
11	910200000002000	2026-01-08 16:36:43.223	2026-01-08 16:36:47.737	Nosepoke Adaptation (Phase 2)	1	2	0	0	1	4.513157	1	4.113157	0	13	0.234	2.405325
12	910200000002000	2026-01-08 16:43:36.884	2026-01-08 16:43:42.266	Nosepoke Adaptation (Phase 2)	1	4	0	0	1	5.381906	1	4.981906	0	8	0.144	1.408217
13	910200000002000	2026-01-08 16:55:17.575	2026-01-08 16:55:21.739	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	4.164226	1	3.764226	0	9	0.162	1.684584
14	910200000002000	2026-01-08 17:07:50.542	2026-01-08 17:07:52.937	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	2.395043	1	1.995043	0	8	0.144	1.640924
15	910200000002000	2026-01-08 17:12:44.936	2026-01-08 17:12:49.062	Nosepoke Adaptation (Phase 2)	1	1	0	0	1	4.126116	1	3.726116	0	0	0.0	0.0
16	910200000002000	2026-01-08 17:16:10.147	2026-01-08 17:16:19.537	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	9.389226	1	8.989226	0	0	0.0	0.0
17	910200000002000	2026-01-08 17:27:19.260	2026-01-08 17:27:23.215	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	3.954916	1	3.554916	0	8	0.144	1.185269
18	910200000002000	2026-01-08 17:30:47.610	2026-01-08 17:31:05.501	Nosepoke Adaptation (Phase 2)	1	3	0	0	1	17.89161	1	17.49161	0	0	0.0	0.0
