VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
0	2026-01-10 08:22:50.127	2026-01-10 08:22:50.467	3	-1	1	0	1	1	0.018	0.160566	0	0	0	0	0	2026-01-10 08:22:50.127
4	2026-01-10 15:07:38.194	2026-01-10 15:07:39.105	1	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
6	2026-01-10 16:23:55.925	2026-01-10 16:23:56.360	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
7	2026-01-11 02:56:17.831	2026-01-11 02:56:19.341	1	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
11	2026-01-11 10:36:11.798	2026-01-11 10:36:12.665	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
12	2026-01-11 13:30:09.633	2026-01-11 13:30:10.511	1	1	0	0	0	16	0.288	2.39569	0	0	0	0	0	2026-01-11 13:30:09.633
14	2026-01-12 07:05:06.629	2026-01-12 07:05:08.941	1	1	0	0	0	9	0.162	1.620714	0	0	0	0	0	2026-01-12 07:05:06.629
19	2026-01-12 18:19:52.363	2026-01-12 18:19:52.620	1	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
20	2026-01-13 06:50:08.957	2026-01-13 06:50:09.514	1	1	0	0	0	12	0.216	2.569354	0	0	0	0	0	2026-01-13 06:50:08.957
21	2026-01-13 06:50:47.431	2026-01-13 06:50:48.492	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
28	2026-01-10 16:54:46.911	2026-01-10 16:54:48.646	3	1	0	0	0	9	0.162	1.44702	0	0	0	0	0	2026-01-10 16:54:46.911
30	2026-01-10 20:43:10.927	2026-01-10 20:43:11.127	3	1	0	0	0	12	0.216	2.325454	0	0	0	0	0	2026-01-10 20:43:10.927
31	2026-01-11 02:22:36.093	2026-01-11 02:22:36.825	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
32	2026-01-11 06:40:47.764	2026-01-11 06:40:49.201	3	1	0	0	0	8	0.144	1.367811	0	0	0	0	0	2026-01-11 06:40:47.764
35	2026-01-11 09:39:39.501	2026-01-11 09:39:44.944	7	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
36	2026-01-11 11:23:04.344	2026-01-11 11:23:10.389	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
40	2026-01-11 14:21:09.451	2026-01-11 14:21:10.181	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
44	2026-01-11 23:06:22.100	2026-01-11 23:06:22.800	3	1	0	0	0	12	0.216	2.301088	0	0	0	0	0	2026-01-11 23:06:22.100
47	2026-01-12 07:06:29.464	2026-01-12 07:06:31.731	3	1	0	0	0	16	0.288	3.447351	0	0	0	0	0	2026-01-12 07:06:29.464
49	2026-01-12 08:15:10.080	2026-01-12 08:15:11.844	7	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
50	2026-01-12 08:20:22.726	2026-01-12 08:20:23.426	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
52	2026-01-12 12:13:28.238	2026-01-12 12:13:29.318	3	1	0	0	0	7	0.126	1.017309	0	0	0	0	0	2026-01-12 12:13:28.238
56	2026-01-12 16:44:55.072	2026-01-12 16:44:57.131	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
58	2026-01-13 03:13:48.581	2026-01-13 03:13:49.046	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
59	2026-01-13 06:19:34.874	2026-01-13 06:19:35.574	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
61	2026-01-10 11:03:54.393	2026-01-10 11:03:54.593	1	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
62	2026-01-10 11:55:20.493	2026-01-10 11:55:20.693	1	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
64	2026-01-10 14:41:21.706	2026-01-10 14:41:22.681	1	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
67	2026-01-10 19:52:25.888	2026-01-10 19:52:27.148	3	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
68	2026-01-10 19:59:59.343	2026-01-10 20:00:02.567	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
69	2026-01-10 20:15:54.869	2026-01-10 20:15:55.569	5	1	0	0	0	15	0.27	2.227999	0	0	0	0	0	2026-01-10 20:15:54.869
71	2026-01-11 01:17:44.208	2026-01-11 01:17:45.591	7	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
76	2026-01-11 12:50:27.895	2026-01-11 12:50:29.070	7	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
77	2026-01-11 13:48:24.354	2026-01-11 13:48:29.707	5	1	0	0	0	15	0.27	3.255532	0	0	0	0	0	2026-01-11 13:48:24.354
80	2026-01-12 01:08:47.627	2026-01-12 01:08:47.827	5	1	0	0	0	8	0.144	1.612597	0	0	0	0	0	2026-01-12 01:08:47.627
81	2026-01-12 02:01:31.442	2026-01-12 02:01:32.906	7	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
82	2026-01-12 03:29:18.485	2026-01-12 03:29:19.884	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
83	2026-01-12 07:09:20.629	2026-01-12 07:09:21.704	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
84	2026-01-12 08:14:07.339	2026-01-12 08:14:08.415	5	1	0	0	0	9	0.162	1.5239	0	0	0	0	0	2026-01-12 08:14:07.339
85	2026-01-12 14:07:11.831	2026-01-12 14:07:12.278	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
88	2026-01-13 06:08:47.029	2026-01-13 06:08:47.417	5	1	0	0	0	10	0.18	2.007562	0	0	0	0	0	2026-01-13 06:08:47.029
89	2026-01-10 10:34:58.138	2026-01-10 10:34:58.838	7	1	0	0	0	11	0.198	2.217742	0	0	0	0	0	2026-01-10 10:34:58.138
90	2026-01-10 10:55:30.432	2026-01-10 10:55:32.553	3	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
93	2026-01-10 13:00:21.409	2026-01-10 13:00:22.116	7	1	0	0	0	13	0.234	2.264426	0	0	0	0	0	2026-01-10 13:00:21.409
97	2026-01-10 16:30:36.578	2026-01-10 16:30:37.805	3	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
98	2026-01-10 16:52:48.217	2026-01-10 16:52:48.858	3	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
101	2026-01-11 00:34:36.038	2026-01-11 00:34:38.440	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
103	2026-01-11 06:10:45.264	2026-01-11 06:10:45.716	7	1	0	0	0	6	0.108	1.162722	0	0	0	0	0	2026-01-11 06:10:45.264
105	2026-01-11 09:36:40.961	2026-01-11 09:36:41.661	7	1	0	0	0	9	0.162	1.421664	0	0	0	0	0	2026-01-11 09:36:40.961
106	2026-01-11 09:40:50.299	2026-01-11 09:40:51.235	7	1	0	0	0	11	0.198	1.621248	0	0	0	0	0	2026-01-11 09:40:50.299
109	2026-01-11 15:21:41.941	2026-01-11 15:21:44.147	7	1	0	0	0	14	0.252	2.181004	0	0	0	0	0	2026-01-11 15:21:41.941
111	2026-01-11 16:18:13.007	2026-01-11 16:18:13.956	3	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
112	2026-01-11 16:26:45.908	2026-01-11 16:26:47.130	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
115	2026-01-11 22:41:14.965	2026-01-11 22:41:16.116	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
116	2026-01-11 23:39:28.827	2026-01-11 23:39:29.027	1	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
118	2026-01-12 00:47:47.726	2026-01-12 00:47:49.317	1	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
119	2026-01-12 02:28:28.034	2026-01-12 02:28:28.879	5	-1	1	0	1	6	0.108	1.170535	0	0	0	0	0	2026-01-12 02:28:28.034
120	2026-01-12 08:58:37.077	2026-01-12 08:58:37.777	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
121	2026-01-12 09:33:38.136	2026-01-12 09:33:40.193	7	1	0	0	0	13	0.234	1.940874	0	0	0	0	0	2026-01-12 09:33:38.136
123	2026-01-12 12:02:00.824	2026-01-12 12:02:02.405	1	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
124	2026-01-12 13:19:18.314	2026-01-12 13:19:19.724	7	1	0	0	0	13	0.234	1.866999	0	0	0	0	0	2026-01-12 13:19:18.314
125	2026-01-12 13:26:48.838	2026-01-12 13:26:49.291	7	1	0	0	0	6	0.108	1.275118	0	0	0	0	0	2026-01-12 13:26:48.838
127	2026-01-12 13:53:53.991	2026-01-12 13:53:57.939	5	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
130	2026-01-12 15:38:37.994	2026-01-12 15:38:38.407	7	1	0	0	0	9	0.162	1.329877	0	0	0	0	0	2026-01-12 15:38:37.994
132	2026-01-12 21:25:03.398	2026-01-12 21:25:05.357	3	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
135	2026-01-13 05:32:15.713	2026-01-13 05:32:16.133	1	-1	1	0	1	0	0.0	0.0	0	0	0	0	0	
