VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
0	2026-01-08 08:08:10.272	2026-01-08 08:08:10.972	7	1	0	0	0	7	0.126	1.397163	0	0	0	0	0	2026-01-08 08:08:10.272
1	2026-01-08 08:10:07.058	2026-01-08 08:10:07.833	3	1	0	0	0	13	0.234	2.229962	0	0	0	0	0	2026-01-08 08:10:07.058
2	2026-01-08 12:57:15.304	2026-01-08 12:57:18.290	7	1	0	0	0	14	0.252	2.875769	0	0	0	0	0	2026-01-08 12:57:15.304
5	2026-01-08 15:38:02.060	2026-01-08 15:38:02.866	5	1	0	0	0	8	0.144	1.408623	0	0	0	0	0	2026-01-08 15:38:02.060
6	2026-01-08 16:26:30.813	2026-01-08 16:26:32.874	1	1	0	0	0	12	0.216	2.17781	0	0	0	0	0	2026-01-08 16:26:30.813
8	2026-01-08 18:43:33.785	2026-01-08 18:43:35.844	7	1	0	0	0	13	0.234	2.287482	0	0	0	0	0	2026-01-08 18:43:33.785
9	2026-01-08 20:31:31.671	2026-01-08 20:31:32.154	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
12	2026-01-09 06:03:13.674	2026-01-09 06:03:14.746	5	1	0	0	0	13	0.234	2.17464	0	0	0	0	0	2026-01-09 06:03:13.674
13	2026-01-09 07:10:20.901	2026-01-09 07:10:23.915	1	1	0	0	0	14	0.252	2.217203	0	0	0	0	0	2026-01-09 07:10:20.901
14	2026-01-09 07:55:07.205	2026-01-09 07:55:07.773	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
15	2026-01-09 08:31:11.683	2026-01-09 08:31:14.003	7	1	0	0	0	6	0.108	1.147954	0	0	0	0	0	2026-01-09 08:31:11.683
16	2026-01-09 09:15:12.542	2026-01-09 09:15:13.529	1	1	0	0	0	10	0.18	2.195907	0	0	0	0	0	2026-01-09 09:15:12.542
17	2026-01-09 09:43:28.699	2026-01-09 09:43:29.709	7	1	0	0	0	9	0.162	1.923766	0	0	0	0	0	2026-01-09 09:43:28.699
18	2026-01-09 09:55:46.973	2026-01-09 09:55:48.029	3	1	0	0	0	13	0.234	2.622371	0	0	0	0	0	2026-01-09 09:55:46.973
19	2026-01-09 10:24:53.554	2026-01-09 10:24:53.959	3	1	0	0	0	9	0.162	1.674246	0	0	0	0	0	2026-01-09 10:24:53.554
20	2026-01-09 11:00:29.210	2026-01-09 11:00:31.139	7	1	0	0	0	15	0.27	2.945703	0	0	0	0	0	2026-01-09 11:00:29.210
21	2026-01-09 12:00:13.136	2026-01-09 12:00:14.035	5	1	0	0	0	8	0.144	1.744456	0	0	0	0	0	2026-01-09 12:00:13.136
22	2026-01-09 12:15:54.782	2026-01-09 12:15:56.333	1	1	0	0	0	13	0.234	1.9512	0	0	0	0	0	2026-01-09 12:15:54.782
24	2026-01-09 14:48:45.620	2026-01-09 14:48:45.899	5	1	0	0	0	9	0.162	1.658224	0	0	0	0	0	2026-01-09 14:48:45.620
25	2026-01-09 17:41:21.019	2026-01-09 17:41:22.416	1	1	0	0	0	14	0.252	2.66212	0	0	0	0	0	2026-01-09 17:41:21.019
27	2026-01-09 20:25:00.302	2026-01-09 20:25:01.644	3	1	0	0	0	12	0.216	1.899997	0	0	0	0	0	2026-01-09 20:25:00.302
