VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution	LickNumber	LickContactTime	LickDuration
0	910200000002000	2026-01-05 07:49:41.402	2026-01-05 07:49:44.054	Free Habituation (Phase 1)	1	2	0	0	1	2.651235	1	2.251235	0	0	0.0	0.0
1	910200000002000	2026-01-05 11:12:54.337	2026-01-05 11:12:58.518	Free Habituation (Phase 1)	1	1	0	0	1	4.180856	1	3.780856	0	0	0.0	0.0
2	910200000002000	2026-01-05 13:57:14.052	2026-01-05 13:57:16.404	Free Habituation (Phase 1)	1	2	0	0	1	2.352463	1	1.952463	0	0	0.0	0.0
3	910200000002000	2026-01-05 13:57:53.848	2026-01-05 13:57:58.441	Free Habituation (Phase 1)	1	1	0	0	1	4.593082	1	4.193082	0	7	0.126	1.495585
4	910200000002000	2026-01-05 19:28:40.606	2026-01-05 19:28:42.463	Free Habituation (Phase 1)	1	3	0	0	1	1.857049	1	1.457049	0	6	0.108	1.082823
5	910200000002000	2026-01-06 09:19:53.105	2026-01-06 09:19:56.962	Free Habituation (Phase 1)	1	3	0	0	1	3.856129	1	3.456129	0	0	0.0	0.0
6	910200000002000	2026-01-06 11:18:13.427	2026-01-06 11:18:14.127	Free Habituation (Phase 1)	1	2	0	0	1	0.7	1	0.3	0	0	0.0	0.0
7	910200000002000	2026-01-06 20:28:12.500	2026-01-06 20:28:17.990	Free Habituation (Phase 1)	1	1	0	0	1	5.489158	1	5.089158	0	0	0.0	0.0
8	910200000002000	2026-01-07 09:14:38.371	2026-01-07 09:14:51.041	Free Habituation (Phase 1)	1	2	0	0	1	12.670315	1	12.270315	0	0	0.0	0.0
9	910200000002000	2026-01-07 15:43:48.154	2026-01-07 15:43:54.908	Free Habituation (Phase 1)	1	2	0	0	1	6.754777	1	6.354777	0	0	0.0	0.0
10	910200000002000	2026-01-07 16:34:02.449	2026-01-07 16:34:08.080	Free Habituation (Phase 1)	1	1	0	0	1	5.631388	1	5.231388	0	0	0.0	0.0
11	910200000002000	2026-01-07 17:52:15.235	2026-01-07 17:52:15.935	Free Habituation (Phase 1)	1	2	0	0	1	0.7	1	0.3	0	7	0.126	1.536348
