VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State	LickStartTime
1	2026-01-08 13:50:10.009	2026-01-08 13:50:11.292	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
2	2026-01-08 17:28:23.169	2026-01-08 17:28:25.550	5	1	0	0	0	4	0.072	0.829506	0	0	0	0	0	2026-01-08 17:28:23.169
3	2026-01-09 00:34:22.236	2026-01-09 00:34:23.061	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
4	2026-01-09 00:57:15.633	2026-01-09 00:57:19.691	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
5	2026-01-09 02:35:27.618	2026-01-09 02:35:28.440	1	1	0	0	0	5	0.09	1.056631	0	0	0	0	0	2026-01-09 02:35:27.618
6	2026-01-09 08:12:50.342	2026-01-09 08:12:51.464	7	1	0	0	0	8	0.144	1.407071	0	0	0	0	0	2026-01-09 08:12:50.342
7	2026-01-09 08:47:57.840	2026-01-09 08:48:02.753	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
8	2026-01-09 11:15:56.310	2026-01-09 11:15:58.903	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
9	2026-01-09 15:12:29.688	2026-01-09 15:12:34.085	3	1	0	0	0	8	0.144	1.39547	0	0	0	0	0	2026-01-09 15:12:29.688
10	2026-01-09 15:50:07.411	2026-01-09 15:50:10.203	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
12	2026-01-09 16:20:42.811	2026-01-09 16:20:43.306	5	1	0	0	0	8	0.144	1.471084	0	0	0	0	0	2026-01-09 16:20:42.811
13	2026-01-09 17:11:07.842	2026-01-09 17:11:08.119	5	1	0	0	0	7	0.126	1.040193	0	0	0	0	0	2026-01-09 17:11:07.842
14	2026-01-10 04:42:49.362	2026-01-10 04:42:49.801	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
15	2026-01-10 07:29:49.987	2026-01-10 07:29:51.394	3	1	0	0	0	7	0.126	1.200116	0	0	0	0	0	2026-01-10 07:29:49.987
16	2026-01-08 08:28:28.110	2026-01-08 08:28:28.928	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
17	2026-01-08 13:25:01.267	2026-01-08 13:25:04.123	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
18	2026-01-08 16:00:37.757	2026-01-08 16:00:39.125	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
19	2026-01-08 18:35:47.863	2026-01-08 18:35:48.422	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
20	2026-01-09 04:38:36.558	2026-01-09 04:38:36.809	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
21	2026-01-09 06:21:31.384	2026-01-09 06:21:33.465	7	1	0	0	0	10	0.18	1.935887	0	0	0	0	0	2026-01-09 06:21:31.384
22	2026-01-09 06:46:07.629	2026-01-09 06:46:07.991	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
24	2026-01-09 10:35:59.236	2026-01-09 10:36:00.547	1	1	0	0	0	7	0.126	1.455412	0	0	0	0	0	2026-01-09 10:35:59.236
26	2026-01-09 12:07:34.854	2026-01-09 12:07:36.812	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
27	2026-01-09 14:02:39.743	2026-01-09 14:02:41.411	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
28	2026-01-09 16:33:55.788	2026-01-09 16:34:01.444	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
29	2026-01-09 16:48:32.804	2026-01-09 16:48:33.708	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
30	2026-01-09 18:06:29.262	2026-01-09 18:06:30.870	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
31	2026-01-08 08:45:01.398	2026-01-08 08:45:03.561	5	1	0	0	0	4	0.072	0.643701	0	0	0	0	0	2026-01-08 08:45:01.398
32	2026-01-08 09:02:59.012	2026-01-08 09:02:59.923	1	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
34	2026-01-08 15:00:26.881	2026-01-08 15:00:28.547	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
35	2026-01-08 15:25:19.541	2026-01-08 15:25:20.779	3	1	0	0	0	7	0.126	1.147976	0	0	0	0	0	2026-01-08 15:25:19.541
36	2026-01-08 16:38:59.370	2026-01-08 16:39:00.239	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
37	2026-01-08 17:05:17.964	2026-01-08 17:05:18.250	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
38	2026-01-08 17:21:05.780	2026-01-08 17:21:06.292	7	1	0	0	0	3	0.054	0.452172	0	0	0	0	0	2026-01-08 17:21:05.780
39	2026-01-08 19:19:43.674	2026-01-08 19:19:44.750	3	1	0	0	0	7	0.126	1.177488	0	0	0	0	0	2026-01-08 19:19:43.674
40	2026-01-08 22:15:09.040	2026-01-08 22:15:10.302	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
41	2026-01-08 22:57:43.015	2026-01-08 22:57:44.009	7	1	0	0	0	14	0.252	2.278888	0	0	0	0	0	2026-01-08 22:57:43.015
43	2026-01-09 04:37:03.845	2026-01-09 04:37:05.544	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
44	2026-01-09 08:30:00.362	2026-01-09 08:30:01.255	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
46	2026-01-09 11:44:04.148	2026-01-09 11:44:04.848	3	1	0	0	0	7	0.126	1.337932	0	0	0	0	0	2026-01-09 11:44:04.148
47	2026-01-09 11:59:04.084	2026-01-09 11:59:05.927	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
48	2026-01-09 15:45:45.336	2026-01-09 15:45:47.474	5	1	0	0	0	10	0.18	2.044616	0	0	0	0	0	2026-01-09 15:45:45.336
49	2026-01-09 16:42:56.021	2026-01-09 16:42:57.466	3	1	0	0	0	3	0.054	0.624156	0	0	0	0	0	2026-01-09 16:42:56.021
50	2026-01-09 16:45:49.366	2026-01-09 16:45:49.921	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
51	2026-01-09 20:52:34.235	2026-01-09 20:52:35.732	1	1	0	0	0	9	0.162	1.892236	0	0	0	0	0	2026-01-09 20:52:34.235
53	2026-01-10 06:14:31.361	2026-01-10 06:14:34.432	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
54	2026-01-10 07:49:21.820	2026-01-10 07:49:23.205	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
55	2026-01-08 08:11:46.404	2026-01-08 08:11:48.506	5	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
56	2026-01-08 08:15:31.674	2026-01-08 08:15:33.370	1	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
57	2026-01-08 10:18:51.085	2026-01-08 10:18:51.667	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
58	2026-01-08 11:57:00.326	2026-01-08 11:57:02.752	7	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
59	2026-01-08 13:54:23.941	2026-01-08 13:54:25.423	3	1	0	0	0	8	0.144	1.390805	0	0	0	0	0	2026-01-08 13:54:23.941
62	2026-01-08 17:27:23.046	2026-01-08 17:27:25.239	1	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
63	2026-01-09 10:43:45.531	2026-01-09 10:43:48.623	3	1	0	0	0	0	0.0	0.0	0	0	0	0	0	
